,title,review_n,review,review_date,likes_n,title_category,review_year,review_month,sentiment,sentiment_cat
0,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,이론적인 내용은 도움되어다 실제 강사님의 진행 사례를 들어서다 해주다 강의이다 더좋다,2021. 5. 4.,1925,금속,2021,5,sorry,neg_content
1,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,하나 하나 첫걸음마르다 차분하다준비하다 도와주다 다음채다 터도 열심히 따라가다 ,2021. 5. 1.,1925,금속,2021,5,good,pos_content
2,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,최대한꼼꼼하다경험하고 배우다 부분을 예시와 함께 설명해주다 이해가 쉽다,2021. 4. 28.,1925,금속,2021,4,good,pos_content
3,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,제가 지금 고민하고 어렵다부분만 찌다 자세하다알다 너무 도움이 많이 되다 창업 시기를 당기다 같다이제 저의 용기만 필요하다 같다강사님감사하다 ,2021. 4. 20.,1925,금속,2021,4,sorry,neg_content
4,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,저의 상황에 딱 맞다 강의이다 손재주가 좋다주변에서 수공예 창업을 추천해주다 처음하다 보다 창업이다 보다 막막하다하다 어디서 부터 무엇을 하다 하다 모르다 첫 시작을 자다 잡다 강의이다 강의를 통해서 용기를 얻다 빠르다시작하다 수있다계기가 되다 것같다정말유익하다시간이다 지금도 강의는 몇번씩돌리다 보다 스스로를 다짐하고 있다창업 실행력을 키우다 좋다강의이다감사하다 ,2021. 4. 16.,1925,금속,2021,4,good,pos_content
5,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,나중으로만 미루다 하다 제게 용기 주시고 컴맹인 제가 몇날 이구 컴앞에 앉다 알다 열심도 주다 감사하다 ,2021. 4. 10.,1925,금속,2021,4,good,pos_etc_prefer
6,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,구체적이고 디테일한 설명과 평소에 궁금하다내용들을 미리자다 정리해주다 기획하고 판매에 도전하다 많다도움이 되다 것같다,2021. 4. 4.,1925,금속,2021,4,good,pos_content
7,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,꼼꼼하다체계적이에요 전혀모르다 사람들도 알다 예시도 많이 들어주다 단시간에 많이 알게 되다 느낌이에요 수업대로 따르다 좋다 같다,2021. 4. 3.,1925,금속,2021,4,good,pos_content
8,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,상품 기획과 아이템 선정에 있다 많다도움이 되다 수공예 창업을 위한 기초적인 부분들을 자다 채우다 좋다,2021. 4. 3.,1925,금속,2021,4,good,pos_etc_prefer
11,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,예비창업다 꼭 수강하다 특히 수 공 예창업을 준비하다 꼭이요 실패를 줄이고 불필요하다창업 비용을 줄이다 수있다,2021. 3. 31.,1925,금속,2021,3,sorry,neg_content
12,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,창업 시 꼭알다 하다 필수 내용을 자다 가이드해주다 저는 이미 창업한터라 제품 가격결정에 대한 내용이 도움이 되어다 앞으로의 내용도 기대해보다 ,2021. 3. 31.,1925,금속,2021,3,sorry,neg_material
13,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,궁금하다조금은 해소되다 같다여러번 더많이 들다 더좋다 같다생각이 드네요 ㅎ,2021. 3. 30.,1925,금속,2021,3,good,pos_etc_prefer
14,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,창업에 대해 두려움이 있다생각지 못한 부분까지 설명해주다 도움이 되다 클래스를 들다 때마다 조금씩 용기가 생기다 ,2021. 3. 30.,1925,금속,2021,3,sorry,neg_content
15,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,설명을 군더더기없이 심플하다 귀에 쏙쏙 이해되다 해주다 궁금하다내용들이 해소되다 느낌이 들어서다 수업이 재밌다느껴지다 부담이 없다너무 좋다,2021. 3. 28.,1925,금속,2021,3,good,pos_content
17,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,막무가내로 시작하다 것이 아니다 이렇다것들은 알다 한다는기초부터 시작하다 좋다돌다 돌다 배우다 것보다 에너지 소비 최소화시간을 아끼다 지치다 않다 시작하다 것이 좋다,2021. 3. 27.,1925,금속,2021,3,good,pos_etc_prefer
18,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,단순하다창업 방법 스킬만을 공유하다 아니다비지니스의 전반적인 이해가 되어다 사업자 로서깊다공감이 가다 혼자어렵다하다 부분중해답을 찾기어렵다부분이 소통이 되어다 기쁘다,2021. 3. 27.,1925,금속,2021,3,sorry,neg_content
19,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,고민만 하다 것들을 정리해주다 내 브랜드의 방향성을 생각하다 강의를 듣다 있다,2021. 3. 26.,1925,금속,2021,3,good,pos_content
20,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,처음 준비하다 때 고민되다 점들을 꼽아 주다 감사하다 첫발내딛다 때두렵다한참걸리다 무조건 도전해보다 말에 무릎을 치다 ,2021. 3. 26.,1925,금속,2021,3,good,pos_etc_prefer
22,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,실전과 연계되다 세심한 강의여서 좋다,2021. 5. 20.,1925,금속,2021,5,good,pos_content
23,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,알지만 복잡하다부분들을 정리해주다 좋다,2021. 5. 19.,1925,금속,2021,5,good,pos_etc_prefer
24,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,디테이다 수공예 사업에 대한 전반적인 이론을 알다 점이 좋다,2021. 5. 11.,1925,금속,2021,5,good,pos_etc_prefer
25,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,기초적인거 부터 차근차근알다 좋다,2021. 5. 9.,1925,금속,2021,5,good,pos_content
26,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,구체적인 정보를 꼼꼼하다알다 도움되다 ,2021. 4. 19.,1925,금속,2021,4,good,pos_content
27,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,구체적으로 정리가 되다 계획에 많다정리가 되다 ,2021. 4. 18.,1925,금속,2021,4,good,pos_content
28,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,모르다 부분이 많다알게 되어다 좋다,2021. 4. 13.,1925,금속,2021,4,good,pos_etc_prefer
29,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,하나 하나 차근차근알다 감사하다 ,2021. 4. 13.,1925,금속,2021,4,good,pos_content
30,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,최대한 상세히 알다 마음이 느껴지다 ,2021. 4. 12.,1925,금속,2021,4,good,pos_content
31,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,정말 상세히 작업하다 감동이다,2021. 4. 10.,1925,금속,2021,4,good,pos_content
32,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,실질적인 정보라기보단 이론적인 내용구성이네 요,2021. 4. 9.,1925,금속,2021,4,sorry,neg_material
33,행복한 취미로 월 200만원 버는 방법 수공예 투잡 도전하기,194,수공예 창업 실무에 필요하다내용들을 자다 정리해주다 ,2021. 4. 8.,1925,금속,2021,4,sorry,neg_content
